cep,latitude,longitude
01012000,-23.5476321,-46.6347189
01156000,-23.5280427,-46.6664526
01035000,-23.5405716,-46.6434399
01219010,-23.5408356,-46.6448005
01203000,-23.5355052,-46.6456679
01035100,-23.5405716,-46.6434399
01211100,-23.5385698,-46.647154
01205000,-23.1832807,-46.8965559
01222010,-23.5467555,-46.6504361
01049000,-23.5463455,-46.6378899
01039000,-23.5432344,-46.6413864
01210000,-20.5324167,-47.4356356
01220010,-23.5446399,-46.6466036
01040000,-23.5432344,-46.6413864
01238000,-23.54347,-46.6569891
01038000,-23.544133,-46.6403479
01301100,-23.5524608,-46.6585334
01311300,-23.5598819,-46.658073
01310100,-23.5646916,-46.6524691
01304001,-23.5544366,-46.6562818
01411000,-23.5631342,-46.6635465
01305100,-23.5569581,-46.6589677
01303020,-23.5484492,-46.6461969
01326010,-23.5589533,-46.6453035
01309010,-23.5566774,-46.6577697
01327001,-23.5641069,-46.6452889
01413000,-23.5612115,-46.6634535
01405002,-23.5676762,-46.657618
01307001,-23.5529347,-46.6516664
01310200,-23.5598819,-46.658073
01311940,-23.5710531,-46.6441971
01451000,-23.5753002,-46.6882158
01489900,-23.5771992,-46.6880485
01504000,-23.5927108,-46.6209509
02010820,-23.500104,-46.6257611
02049900,-23.5174969,-46.6149398
02089900,-23.5155148,-46.6183448
02169030,-23.5183814,-46.5756368
02276010,-23.4575253,-46.5838501
02240000,-23.4786886,-46.602715
02047050,-23.5174841,-46.617123
02320110,-23.4499395,-46.5967681
02984035,-23.4389548,-46.7214453
02876170,-23.4464785,-46.6903764
02815000,-23.4450709,-46.7141862
02430001,-23.4821956,-46.6471859
02832240,-23.4832323,-46.6927139
02998080,-23.4377775,-46.7323058
03126000,-23.5818813,-46.5943259
03342000,-23.5700616,-46.5696294
03033020,-23.5276885,-46.6253803
03312000,-23.5413949,-46.5619061
03572020,-23.5741195,-46.5019226
03527000,-23.5468012,-46.5270711
03066030,-23.5385062,-46.5763421
03153001,-23.5925871,-46.5851354
03306010,-23.5421254,-46.5761181
04029903,-23.6101927,-46.6668742
03819160,-23.5001393,-46.4977127
04029902,-23.6101927,-46.6668742
04123000,-23.6238555,-46.6286292
04120040,-23.5948696,-46.6358114
03634010,-23.5238154,-46.5467507
03227000,-23.5842948,-46.5690208
04036100,-23.5993866,-46.6366049
04534011,-23.5848374,-46.6755617
04151100,-23.6207819,-46.6267943
04532060,-23.5891661,-46.6731058
04211040,-23.5880507,-46.6040403
04661200,-23.6805606,-46.6877098
04534010,-23.5835514,-46.6708603
04235020,-23.6153679,-46.5903186
04325001,-23.6559333,-46.6366131
04534002,-23.5835514,-46.6708603
04747030,-23.655705,-46.7010771
04744030,-23.6557109,-46.7047784
04240110,-23.6218804,-46.5832319
04551000,-23.5959391,-46.686589
04707900,-23.6234167,-46.6985436
04583110,-23.6235217,-46.6998982
04543011,-23.5910533,-46.683673
05003020,-23.5282904,-46.6751485
04795000,-23.6204519,-46.7006298
04762001,-23.6666278,-46.722026
04752005,-23.6525634,-46.7109384
04852320,-23.7834397,-46.6881493
04794000,-23.6204519,-46.7006298
04962000,-23.7336885,-46.7826109
05001000,-23.529965,-46.6674318
05005030,-23.5279856,-46.6802098
05005000,-23.5332505,-46.6681819
05005900,-23.5266821,-46.680867
05003090,-23.5278644,-46.6740798
05017040,-23.5391653,-46.6819838
05042000,-23.5249607,-46.6960544
05017000,-23.5413013,-46.6829375
05049000,-23.5254362,-46.7006167
05049901,-23.5211673,-46.700803
05787000,-23.6208368,-46.7576933
05416010,-23.5638974,-46.6859616
05328020,-23.5482922,-46.7569457
05145000,-23.5008153,-46.7230295
05203200,-23.406416,-46.7507833
05508060,-23.5596314,-46.7225722
05502001,-23.5605816,-46.7092709
05160030,-23.4827259,-46.7622016
05477000,-23.536224,-46.7435617
05402918,-23.5737033,-46.6958894
05512300,-23.5859427,-46.722764
05588001,-23.5807321,-46.7500637
05724002,-23.6289429,-46.7361067
05577200,-23.5835593,-46.7784831
05724003,-23.6331784,-46.7370687
05879000,-23.6860428,-46.7924117
06093000,-23.529904,-46.7771403
08115100,-23.4950462,-46.4052707
08270000,-23.565151,-46.4676876
08220380,-23.5400027,-46.4602591
08285060,-23.5519624,-46.4688266
08490000,-23.5815569,-46.3873578
08141290,-23.5128331,-46.3920328
08420690,-23.5486026,-46.4279699
08395320,-23.622436,-46.457768
08420092,-23.5282127,-46.4465158
79002070,-20.4643234,-54.6194456
08021480,-23.4992877,-46.4300098
08473572,-23.5859508,-46.3916899
08380330,-23.5948163,-46.4457447
08220900,-23.5400341,-46.4639047
